ID_Provinsi;Provinsi;Tahun;PDRB;Konsumsi_RT;NTL;IPM;Jumlah_Penduduk;Proporsi_Informal;Realisasi_Pajak;NO2;Proporsi_Agrikultur
12;Kalimantan Barat;2019;212150,0;1829379,47;120164,33;67,65;5045700;60,11;2863,6;0,039602923;20,09
12;Kalimantan Barat;2020;213950,0;1629415,04;130631,59;68,76;5695500;63,01;2588,82;0,036343051;20,91
12;Kalimantan Barat;2021;231321,0;1762352,86;156731,99;68,99;5414400;60,87;2987,61;0,042501218;21,28
12;Kalimantan Barat;2022;255797,0;1894228,6;107669,09;69,71;5474700;58,77;3668,97;0,041812874;21,1
12;Kalimantan Barat;2023;274469,0;2025905,3;164214,13;70,47;5549700;59,69;3519,14;0,047524889;20,8
13;Kalimantan Selatan;2019;180558,0;1718740,36;63015,29;70,72;4216300;56,82;3579,98;0,012819526;14,31
13;Kalimantan Selatan;2020;179162,0;1708497,14;68692,08;73,09;4273400;60,82;2892,71;0,01111948;14,4
13;Kalimantan Selatan;2021;197882,0;1859604,12;64860,66;73,45;4073600;59,63;3384,41;0,012677332;13,58
13;Kalimantan Selatan;2022;251099,0;2089254,05;56391,61;74,0;4116900;57,3;4760,88;0,013292008;11,42
13;Kalimantan Selatan;2023;269192,0;2265738,65;83834,76;74,66;4170200;55,25;4671,2;0,015712206;11,37
14;Kalimantan Tengah;2019;150046,0;1948832,62;125398,41;70,91;2649800;51,02;1970,57;0,041875277;20,08
14;Kalimantan Tengah;2020;152187,0;1905562,28;137735,88;72,62;2809700;55,8;1654,24;0,03505967;21,72
14;Kalimantan Tengah;2021;169656,0;2089641,07;163630,52;72,81;2670000;55,5;1944,52;0,040220844;22,17
14;Kalimantan Tengah;2022;199741,0;2217748,11;131205,77;73,17;2700100;51,5;2728,82;0,041228293;20,49
14;Kalimantan Tengah;2023;208783,0;2369108,94;169242,94;73,73;2737200;51,86;2823,92;0,04790043;21,5
15;Kalimantan Timur;2019;652480,0;2527097,09;169368,02;76,61;3619700;41,76;6414,51;0,031435628;7,95
15;Kalimantan Timur;2020;607744,0;2282578,25;184797,71;75,94;4045900;47,14;5139,85;0,02937537;8,8
15;Kalimantan Timur;2021;696633,0;2558085,5;195029,73;76,6;3766000;46,49;6215,83;0,034134284;8,49
15;Kalimantan Timur;2022;921451,0;2758095,61;163228,12;77,36;3803500;44,26;9363,24;0,034204861;7,05
15;Kalimantan Timur;2023;843571,0;2967183,5;229689,79;78,2;3856800;44,67;9840,83;0,039542791;8,02
16;Kalimantan Utara;2019;96509,9;1917325,57;50505,98;71,15;695600;46,69;551,41;0,013009905;15,87
